projectName,projectId,category,startDate,endDate
"Shopko Stores Operating Co., LLC",PID43,Sales Activity,2014-12-20,2015-06-29
King Bio Inc.,PID44,Client Project,2018-03-02,2018-06-10
H E B,PID45,Client Project,2021-10-31,2022-04-13
"Global Pharmaceuticals, Division of Impax Laboratories Inc.",PID46,Client Project,2020-07-17,2021-01-05
Par Pharmaceutical Inc.,PID47,BAU Activity,2016-11-13,2017-03-03
Rimmel Inc.,PID48,Sales Activity,2021-08-17,2021-12-25
"Elorac, Inc.",PID49,Sales Activity,2017-09-15,2018-03-24
Major Pharmaceuticals,PID50,BAU Activity,2022-07-24,2023-01-03
Apotex Corp.,PID51,BAU Activity,2018-04-21,2018-11-08
"Watson Pharma, Inc.",PID52,Client Project,2020-03-26,2020-10-08
"YIWU HAODING MEDICAL CO.,LTD",PID53,Client Project,2020-08-14,2020-11-22
Apotex Corp.,PID54,Client Project,2014-01-06,2014-04-24
Northwind Pharmaceuticals,PID55,Client Project,2020-01-09,2020-07-19
"Kareway Product, Inc.",PID56,Client Project,2018-09-22,2019-03-28
Feelgood Health,PID57,Sales Activity,2017-01-07,2017-04-22
"Liddell Laboratories, Inc.",PID58,Client Project,2013-10-02,2014-01-08
Lake Erie Medical DBA Quality Care Products LLC,PID59,Client Project,2016-12-15,2017-03-23
"Ningbo Dowland Daily Health Co., Ltd",PID60,BAU Activity,2019-01-18,2019-07-23
Precision Dose Inc.,PID61,Client Project,2014-02-25,2014-07-30
Zenith Medicosm SL,PID62,Client Project,2017-12-20,2018-06-24
Kinray Inc,PID63,Sales Activity,2018-02-02,2018-06-07
"Meijer Distribution, Inc",PID64,Client Project,2014-12-02,2015-06-06
"SJ Creations, Inc.",PID65,BAU Activity,2019-01-15,2019-07-02
Dr Reddys Laboratories Inc,PID66,Sales Activity,2019-04-19,2019-10-04
"Silarx Pharmaceutical, Inc",PID67,Client Project,2017-05-06,2017-10-25
"Goodier Cosmetics, LP",PID68,Client Project,2017-12-05,2018-06-12
"BioActive Nutritional, Inc.",PID69,Client Project,2017-06-10,2017-10-25
"Nelco Laboratories, Inc.",PID70,Client Project,2023-09-24,2024-02-11
McKesson,PID71,Client Project,2022-03-31,2022-07-15
GlaxoSmithKline Consumer Heathcare LP,PID72,Sales Activity,2015-04-03,2015-07-15
AstraZeneca LP,PID73,BAU Activity,2014-07-14,2014-11-22
SHISEIDO AMERICAS CORPORATION,PID74,BAU Activity,2014-08-30,2015-03-20
"Rowpar Pharmaceuticals, Inc.",PID75,Client Project,2014-04-02,2014-10-17
Aidarex Pharmaceuticals LLC,PID76,Sales Activity,2017-04-09,2017-08-16
"G&W Laboratories, Inc.",PID77,Sales Activity,2015-08-08,2016-01-14
Amerisource Bergen,PID78,BAU Activity,2015-05-13,2015-10-31
"SHISEIDO CO., LTD.",PID79,Client Project,2023-10-24,2024-03-29
Cadila Healthcare Limited,PID80,BAU Activity,2015-07-08,2015-11-22
"Hospira, Inc.",PID81,BAU Activity,2017-06-24,2017-11-01
Raphabio Inc,PID82,Sales Activity,2022-05-07,2022-09-24
Alvogen Inc.,PID83,BAU Activity,2016-09-08,2017-03-19
L'Oreal USA Products Inc,PID84,Sales Activity,2016-02-13,2016-08-01
Cantrell Drug Company,PID85,BAU Activity,2019-02-27,2019-06-12
"Buckeye International, Inc.",PID86,BAU Activity,2024-04-07,2024-08-17
Baxter Healthcare Corporation,PID87,Client Project,2017-03-19,2017-08-29
KAISER FOUNDATION HOSPITALS,PID88,Client Project,2021-10-06,2022-01-20
Johnson & Johnson Consumer Sante Beaute France,PID89,BAU Activity,2018-11-08,2019-05-20
"Antigen Laboratories, Inc.",PID90,Sales Activity,2017-03-15,2017-09-23
Neutrogena Corporation,PID91,Sales Activity,2021-01-30,2021-07-13
L Perrigo Company,PID92,Sales Activity,2018-03-29,2018-08-06
Colgate-Palmolive Company,PID93,Client Project,2019-10-11,2020-03-02
"Blenheim Pharmacal, Inc.",PID94,Client Project,2014-07-18,2014-11-23
West-Ward Pharmaceutical Corp,PID95,Sales Activity,2013-01-28,2013-08-06
Procter & Gamble Manufacturing Co.,PID96,Client Project,2018-07-12,2018-11-27
Benco Dental Company,PID97,BAU Activity,2016-06-04,2016-11-22
"Nelco Laboratories, Inc.",PID98,BAU Activity,2013-08-15,2013-12-05
"Upsher-Smith Laboratories, Inc.",PID99,Sales Activity,2013-05-20,2013-08-27
"ALK-Abello, Inc.",PID100,Client Project,2019-12-11,2020-06-15
VVF Kansas Services LLC,PID101,Sales Activity,2023-12-22,2024-07-04
AMERIFOODS TRADING COMPANY,PID102,Client Project,2023-10-11,2024-01-23
Best Choice,PID103,Sales Activity,2013-02-23,2013-06-04
"SIGMAPHARM LABORATORIES, LLC",PID104,Client Project,2015-10-11,2016-01-27
Cardinal Health,PID105,Client Project,2019-01-08,2019-05-15
Apotex Corp,PID106,Client Project,2015-03-17,2015-09-04
"PD-Rx Pharmaceuticals, Inc.",PID107,Client Project,2013-06-26,2013-11-15
Ventura International LTD,PID108,BAU Activity,2020-02-13,2020-07-19
"Taro Pharmaceuticals U.S.A., Inc.",PID109,Client Project,2013-08-05,2013-12-16
Sun Pharma Global FZE,PID110,Client Project,2016-02-11,2016-05-16
Validus Pharmaceuticals LLC,PID111,Client Project,2017-07-04,2017-12-21
Uriel Pharmacy Inc.,PID112,Sales Activity,2014-02-11,2014-05-26
"Blenheim Pharmacal, Inc.",PID113,Client Project,2022-04-07,2022-10-27
"Bath & Body Works, Inc.",PID114,BAU Activity,2018-11-30,2019-04-19
Vi-Jon,PID115,Client Project,2013-08-15,2013-12-25
"Isis Medical, Inc.",PID116,Sales Activity,2015-05-14,2015-11-30
"Watson Laboratories, Inc.",PID117,Client Project,2020-05-08,2020-08-19
REMEDYREPACK INC.,PID118,Client Project,2017-10-05,2018-01-23
Bryant Ranch Prepack,PID119,Client Project,2019-05-24,2019-10-13
"ALK-Abello, Inc.",PID120,Client Project,2017-10-18,2018-03-28
Kinray Inc.,PID121,BAU Activity,2015-11-22,2016-02-28
"Chattem, Inc.",PID122,Client Project,2013-05-04,2013-10-18
MAKE UP ART COSMETICS,PID123,BAU Activity,2018-10-18,2019-05-04
VIATREXX BIO INCORPORATED,PID124,BAU Activity,2016-08-28,2017-03-12
L. Perrigo Company,PID125,Client Project,2023-06-23,2023-09-27
Barr Laboratories Inc.,PID126,Client Project,2023-11-22,2024-05-10
CHANEL PARFUMS BEAUTE,PID127,Sales Activity,2021-02-10,2021-05-18
Walgreen Company,PID128,Client Project,2020-01-20,2020-06-06
Baxter Healthcare Corporation,PID129,Client Project,2019-05-20,2019-09-03
Mission Pharmacal Company,PID130,Sales Activity,2013-06-26,2013-11-01
BJWC,PID131,Sales Activity,2024-01-15,2024-05-24
Cardinal Health,PID132,Sales Activity,2013-05-27,2013-11-16
"Physicians Total Care, Inc.",PID133,Client Project,2021-01-09,2021-04-20
"Synthon Pharmaceuticals, Inc.",PID134,Client Project,2016-02-03,2016-07-20
"Physicians Total Care, Inc.",PID135,Client Project,2017-12-01,2018-03-19
Feelgood Health,PID136,Client Project,2021-04-29,2021-10-10
"Philosophy, Inc.",PID137,Sales Activity,2020-02-17,2020-08-02
Rite Aid,PID138,Client Project,2017-10-05,2018-03-15
Space Brands Limited,PID139,Sales Activity,2014-01-31,2014-08-07
REMEDYREPACK INC.,PID140,Client Project,2021-07-29,2022-01-17
Hyland's,PID141,Client Project,2016-11-03,2017-04-20
"Cypress Pharmaceutical, Inc",PID142,BAU Activity,2016-01-19,2016-06-28
"Preferred Pharmaceuticals, Inc",PID143,Client Project,2019-08-09,2020-01-20
Mylan Pharmaceuticals Inc.,PID144,Sales Activity,2024-03-09,2024-06-19
Safeway Inc.,PID145,Sales Activity,2013-03-28,2013-07-17
"Peaceful Mountain, Inc.",PID146,Sales Activity,2016-09-19,2017-03-23
American Health Packaging,PID147,Client Project,2016-06-09,2016-12-15
"Cosmetic Specialty Labs, Inc.",PID148,Sales Activity,2013-04-16,2013-09-05
"Physicians Total Care, Inc.",PID149,BAU Activity,2017-11-22,2018-06-02
Danes Welding Supplies Inc.,PID150,Client Project,2016-01-31,2016-07-07
Cardinal Health,PID151,BAU Activity,2017-01-09,2017-04-18
REMEDYREPACK INC.,PID152,Client Project,2019-01-08,2019-07-18
Kinray Inc,PID153,Sales Activity,2023-10-02,2024-02-15
"SJ Creations, Inc.",PID154,Client Project,2018-03-10,2018-08-15
LABORATOIRES M&L,PID155,Sales Activity,2017-11-24,2018-06-10
"Bolero Home Decor, Inc.",PID156,Client Project,2024-02-08,2024-08-18
L'Oreal USA Products Inc,PID157,Client Project,2023-05-29,2023-09-06
Rebel Distributors Corp,PID158,Client Project,2023-04-24,2023-09-28
VENTURA INTERNATIONAL LTD,PID159,Client Project,2023-06-30,2024-01-09
Unit Dose Services,PID160,BAU Activity,2018-10-14,2019-03-03
"Sato Pharmaceutical Co., Ltd.",PID161,BAU Activity,2016-05-20,2016-09-03
"Camellix, LLC",PID162,Sales Activity,2015-12-04,2016-05-08
BluePoint Laboratories,PID163,Client Project,2023-11-15,2024-03-23
"MIX & MATCH CO., LTD.",PID164,Client Project,2018-12-15,2019-03-22
Cardinal Health,PID165,Client Project,2016-10-29,2017-05-07
L'Oreal USA Products Inc,PID166,Sales Activity,2018-04-14,2018-08-22
"AMI Cosmetic Co.,Ltd.",PID167,Client Project,2020-07-20,2021-01-28
AbbVie Inc.,PID168,Client Project,2023-11-22,2024-05-01
"Roxane Laboratories, Inc.",PID169,Client Project,2020-06-01,2020-09-08
Cardinal Health,PID170,Client Project,2018-03-06,2018-09-19
Actavis Elizabeth LLC,PID171,Client Project,2013-07-08,2013-12-20
Pharmacia and Upjohn Company,PID172,BAU Activity,2019-03-03,2019-07-12
DIRECT RX,PID173,Client Project,2021-03-16,2021-09-30
"Wausau Paper Towel & Tissue, LLC",PID174,Sales Activity,2014-11-25,2015-06-01
Apotheca Company,PID175,Sales Activity,2020-07-27,2020-11-13
"ALK-Abello, Inc.",PID176,BAU Activity,2017-04-15,2017-08-24
"AvKARE, Inc.",PID177,Client Project,2013-11-29,2014-03-07
"General Injectables & Vaccines, Inc",PID178,Client Project,2013-10-27,2014-02-02
"AvKARE, Inc.",PID179,Client Project,2016-08-22,2017-01-07
Combe Incorporated,PID180,Client Project,2015-12-06,2016-06-10
Prasco Laboratories,PID181,Sales Activity,2020-02-02,2020-05-16
Physician Therapeutics LLC,PID182,Client Project,2024-03-12,2024-08-29
JayMac Pharmaceuticals LLC,PID183,Client Project,2016-12-08,2017-03-21
LaCorium Health International Pty Ltd,PID184,Client Project,2023-05-21,2023-10-08
CHANEL PARFUMS BEAUTE,PID185,Client Project,2020-10-25,2021-02-04
SHISEIDO AMERICAS CORPORATION,PID186,BAU Activity,2021-05-05,2021-11-25
"Preferred Pharmaceuticals, Inc.",PID187,BAU Activity,2020-02-28,2020-09-17
"Nelco Laboratories, Inc.",PID188,Sales Activity,2017-01-30,2017-06-04
"Preferred Pharmaceuticals, Inc.",PID189,Sales Activity,2018-07-08,2018-11-23
Mylan Pharmaceuticals Inc.,PID190,BAU Activity,2022-11-04,2023-02-09
The Mentholatum Company,PID191,Client Project,2019-11-03,2020-03-08
"The Hain Celestial Group, Inc.",PID192,Sales Activity,2016-08-30,2017-03-16
Cardinal Health,PID193,Client Project,2014-12-28,2015-06-15
Compressed Gases Inc,PID194,Client Project,2021-03-08,2021-06-22
"Altura Pharmaceuticals, Inc.",PID195,Client Project,2016-07-02,2016-12-11
Mylan Pharmaceuticals Inc.,PID196,Client Project,2021-12-18,2022-04-23
"Peaceful Mountain, Inc.",PID197,Client Project,2018-10-04,2019-02-14
Ventura International LTD.,PID198,Sales Activity,2014-03-11,2014-07-18
"Taro Pharmaceuticals U.S.A., Inc.",PID199,Client Project,2013-07-28,2014-01-03
"Preferred Pharmaceuticals, Inc",PID200,Sales Activity,2018-01-12,2018-06-21
Dukal Corporation,PID201,Client Project,2019-03-28,2019-09-05
Zydus Pharmaceuticals USA Inc,PID202,Client Project,2015-08-11,2016-01-31
"BioActive Nutritional, Inc.",PID203,Client Project,2023-09-17,2024-02-06
Bottega di Lungavita Srl,PID204,Client Project,2018-05-28,2018-10-17
Rebel Distributors Corp,PID205,Client Project,2020-11-24,2021-06-06
"Caraco Pharmaceutical Laboratories, Ltd.",PID206,Sales Activity,2020-11-20,2021-05-28
Sam's West Inc,PID207,Client Project,2015-11-24,2016-04-10
Midlothian Laboratories,PID208,Client Project,2017-06-01,2017-09-19
"Physicians Total Care, Inc.",PID209,Client Project,2018-04-08,2018-07-24
"Johnson & Johnson Healthcare Products, Division of McNEIL-PPC, Inc.",PID210,Sales Activity,2023-07-14,2023-11-27
American Health Packaging,PID211,BAU Activity,2018-03-23,2018-08-30
Cardinal Health,PID212,Client Project,2017-09-17,2018-03-08
Cardinal Health,PID213,Client Project,2013-02-02,2013-08-21
"WOONSOCKET PRESCRIPTION CENTER,INCORPORATED",PID214,Client Project,2022-11-21,2023-06-07
"TROY MANUFACTURING, INC",PID215,Client Project,2013-01-16,2013-05-03
Cardinal Health,PID216,Client Project,2015-05-29,2015-12-18
Paramesh Banerji Life Sciences LLC,PID217,Client Project,2022-05-12,2022-08-23
"Exelan Pharmaceuticals, Inc.",PID218,BAU Activity,2016-05-29,2016-10-14
Unique Holding Group Inc,PID219,Client Project,2013-07-20,2014-02-06
REMEDYREPACK INC.,PID220,BAU Activity,2017-09-20,2018-02-04
"Preferred Pharmaceuticals, Inc.",PID221,Sales Activity,2013-01-07,2013-04-27
"Ascend Laboratories, LLC",PID222,Client Project,2021-09-09,2022-02-25
Lake Erie Medical DBA Quality Care Products LLC,PID223,Sales Activity,2014-03-31,2014-07-15
"Preferred Pharmaceuticals, Inc.",PID224,Client Project,2013-08-24,2014-02-28
Zurcare dba Reliable Medical,PID225,Client Project,2013-01-18,2013-08-05
"Chattem, Inc.",PID226,Client Project,2020-08-19,2021-02-07
AMOREPACIFIC,PID227,Sales Activity,2020-06-22,2020-11-10
Portal Pharmaceutical,PID228,Sales Activity,2021-02-02,2021-05-10
Amerisource Bergen,PID229,Client Project,2013-01-16,2013-07-30
PUR MINERALS,PID230,BAU Activity,2022-04-07,2022-08-21
"Amneal Pharmaceuticals of New York, LLC",PID231,Client Project,2014-02-12,2014-05-28
"SHISEIDO CO., LTD.",PID232,Client Project,2015-07-07,2016-01-25
Xerion Dispensary Ltd.,PID233,Client Project,2023-11-15,2024-04-23
"Matrixx Initiatives, Inc.",PID234,Client Project,2023-04-30,2023-08-12
Dolgencorp Inc,PID235,Sales Activity,2017-02-13,2017-08-22
"Dispensing Solutions, Inc.",PID236,Client Project,2013-02-07,2013-05-16
Purdue Pharma LP,PID237,Client Project,2019-10-25,2020-02-05
Aidarex Pharmaceuticals LLC,PID238,Client Project,2018-11-04,2019-02-13
"MedVantage Pharmaceutical, LLC",PID239,BAU Activity,2017-07-23,2017-11-08
Amgen Inc,PID240,Client Project,2015-07-20,2016-02-07
Teva Pharmaceuticals USA Inc,PID241,Client Project,2020-03-01,2020-09-09
"H.J. Harkins Company, Inc.",PID242,Client Project,2017-05-11,2017-08-20
"Rejoice International, Inc.",PID243,BAU Activity,2023-02-02,2023-08-11
L. Perrigo Company,PID244,Client Project,2014-05-31,2014-12-20
Major Pharmaceuticals,PID245,Client Project,2016-07-05,2016-10-20
SJ Pharmaceuticals,PID246,Client Project,2014-10-30,2015-05-18
Mission Pharmacal Company,PID247,Client Project,2019-07-14,2019-11-03
Keystone Laboratories,PID248,Client Project,2014-08-01,2014-12-18
Sanum Kehlbeck GmbH & Co. KG,PID249,Client Project,2021-04-05,2021-07-18
Mylan Institutional Inc.,PID250,BAU Activity,2020-09-11,2021-02-15
"Narvarro Discount Pharmarcies,LLC",PID251,Client Project,2013-10-20,2014-02-07
Zydus Pharmaceuticals (USA) Inc.,PID252,Client Project,2017-01-22,2017-07-27
GlaxoSmithKline LLC,PID253,Client Project,2019-06-12,2019-10-20
"SKINFOOD CO., LTD.",PID254,Client Project,2013-09-19,2014-01-29
Clinical Solutions Wholesale,PID255,Sales Activity,2016-10-16,2017-02-24
"Amazonian Naturals, Inc.",PID256,Client Project,2020-10-23,2021-02-12
Target Corporation,PID257,Client Project,2015-04-09,2015-10-14
Parfums Christian Dior,PID258,Sales Activity,2023-04-27,2023-10-15
"Deseret Biologicals, Inc.",PID259,Client Project,2015-02-28,2015-08-05
Precision Dose Inc.,PID260,Sales Activity,2021-07-07,2021-12-23
"LIFElabs, a Division of Atico International USA, INC.",PID261,Client Project,2020-07-28,2021-02-07
"Libertas Pharma, Inc.",PID262,Client Project,2013-03-11,2013-07-26
HyVee Inc,PID263,Client Project,2018-02-05,2018-08-17
Unit Dose Services,PID264,Client Project,2023-08-11,2023-12-21
"NUGA MEDICAL CO., LTD.",PID265,Sales Activity,2019-09-30,2020-02-13
Cardinal Health,PID266,Client Project,2019-04-02,2019-09-18
Forces of Nature,PID267,Client Project,2020-03-21,2020-08-30
Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,PID268,BAU Activity,2023-09-01,2024-03-14
Neutrogena Corporation,PID269,Sales Activity,2014-05-06,2014-08-13
"Preferred Pharmaceuticals, Inc",PID270,Client Project,2014-02-16,2014-06-02
Unit Dose Services,PID271,BAU Activity,2022-04-01,2022-09-12
Guerbet LLC,PID272,Client Project,2014-06-29,2014-11-06
"WOONSOCKET PRESCRIPTION CENTER,INCORPORATED",PID273,Sales Activity,2013-11-22,2014-04-05
"NCS HealthCare of KY, Inc dba Vangard Labs",PID274,Sales Activity,2020-10-24,2021-04-30
Procter and Gamble Manufacturing Company,PID275,Sales Activity,2022-06-01,2022-11-09
"Teva Women's Health, Inc.",PID276,Client Project,2024-04-03,2024-07-10
"PD-Rx Pharmaceuticals, Inc.",PID277,BAU Activity,2023-10-24,2024-05-05
"Nelco Laboratories, Inc.",PID278,Client Project,2018-08-13,2018-12-19
HOMEOLAB USA INC.,PID279,Client Project,2016-10-17,2017-01-21
"Nelco Laboratories, Inc.",PID280,BAU Activity,2023-03-18,2023-08-31
"Roxane Laboratories, Inc",PID281,BAU Activity,2016-08-02,2017-01-10
"Physicians Total Care, Inc.",PID282,Client Project,2014-06-18,2014-12-31
SHISEIDO AMERICA INC.,PID283,Client Project,2023-07-29,2024-02-02
"Blu Pharmaceuticals, LLC",PID284,Sales Activity,2014-06-05,2014-10-12
Ranbaxy Pharmaceuticals Inc.,PID285,Client Project,2018-01-12,2018-07-20
"Boca Pharmacal, LLC",PID286,Client Project,2021-06-29,2022-01-18
"Best Sanitizers, Inc",PID287,Sales Activity,2014-04-14,2014-09-27
Legacy Pharmaceutical Packaging,PID288,Sales Activity,2021-12-27,2022-04-12
WALGREEN CO.,PID289,Client Project,2014-07-20,2015-01-01
"Physicians Total Care, Inc.",PID290,Client Project,2022-02-14,2022-07-22
Bobbi Brown Professional Cosmetics Inc.,PID291,Sales Activity,2018-04-20,2018-08-04
Western Family Foods Inc,PID292,Client Project,2022-02-23,2022-08-07
Topco Associates LLC,PID293,Client Project,2020-12-19,2021-05-23
"Nelco Laboratories, Inc.",PID294,Client Project,2018-09-01,2019-03-05
Jafra Cosmetics International Inc,PID295,Client Project,2021-09-06,2022-03-17
Uriel Pharmacy Inc.,PID296,BAU Activity,2019-10-19,2020-01-29
Dr. Reddy's Laboratories Limited,PID297,Client Project,2016-06-27,2016-12-16
STAT Rx USA LLC,PID298,Client Project,2013-11-19,2014-03-28
St. Marys Medical Park Pharmacy,PID299,Sales Activity,2022-12-09,2023-05-25
Mutual Pharmaceutical,PID300,Sales Activity,2022-09-10,2023-01-28
Apotheca Company,PID301,Client Project,2020-03-23,2020-10-08
American Health Packaging,PID302,Client Project,2020-05-09,2020-10-14
"Deseret Biologicals, Inc.",PID303,Sales Activity,2022-11-29,2023-06-17
"NCS HealthCare of KY, Inc dba Vangard Labs",PID304,Sales Activity,2014-09-13,2015-03-29
"Mission Hills, S.A.de C.V.",PID305,BAU Activity,2014-09-15,2015-02-19
Mylan Institutional Inc.,PID306,BAU Activity,2023-06-20,2023-11-06
Stat Rx USA,PID307,Client Project,2020-09-19,2021-01-25
"Ventura Corporation (San Juan, P.R)",PID308,BAU Activity,2016-02-09,2016-08-14
"Nelco Laboratories, Inc.",PID309,Client Project,2023-11-09,2024-03-25
Ranbaxy Pharmaceuticals Inc.,PID310,Client Project,2020-06-13,2020-10-02
"Hospira, Inc.",PID311,Sales Activity,2020-03-07,2020-08-24
A-S Medication Solutions LLC,PID312,Sales Activity,2020-11-26,2021-06-09
"Fresenius Kabi USA, LLC",PID313,BAU Activity,2019-04-27,2019-11-10
"NATURE REPUBLIC CO., LTD.",PID314,Sales Activity,2017-02-24,2017-09-07
"Energique, Inc.",PID315,Sales Activity,2015-05-20,2015-08-28
"Physicians Total Care, Inc.",PID316,Client Project,2022-09-17,2023-04-03
King Bio Inc.,PID317,Client Project,2015-10-08,2016-01-13
Sun Pharmaceutical Industries Limited,PID318,Sales Activity,2021-01-18,2021-06-05
STAT Rx USA LLC,PID319,Sales Activity,2015-01-02,2015-07-06
Barr Laboratories Inc.,PID320,Client Project,2014-05-05,2014-09-14
Walgreens,PID321,Sales Activity,2022-11-13,2023-02-20
Insight Pharmaceuticals LLC,PID322,Client Project,2016-09-16,2017-02-01
"AMI Cosmetic Co.,Ltd.",PID323,BAU Activity,2019-07-23,2019-12-08
"Lupin Pharmaceuticals, Inc.",PID324,Client Project,2014-03-09,2014-08-24
Reckitt Benckiser LLC,PID325,BAU Activity,2021-11-15,2022-05-28
E-Z-EM Canada Inc,PID326,Sales Activity,2016-08-21,2017-02-28
McKesson Contract Packaging,PID327,Client Project,2021-12-15,2022-07-01
Pfizer Laboratories Div Pfizer Inc,PID328,Client Project,2020-10-22,2021-03-03
McKesson,PID329,Sales Activity,2022-04-02,2022-10-06
Ionx Holdings d/b/a HelloLife Inc.,PID330,Client Project,2020-08-25,2021-01-10
Uriel Pharmacy Inc.,PID331,BAU Activity,2017-06-28,2017-10-17
West-Ward Pharmaceutical Corp,PID332,Client Project,2016-08-06,2017-02-19
Nomax Inc.,PID333,Sales Activity,2022-08-27,2023-03-04
Guthy-Renker LLC,PID334,Client Project,2020-09-14,2021-03-22
"Nova Homeopathic Therapeutics, Inc.",PID335,Client Project,2022-06-22,2023-01-06
"Actelion Pharmaceuticals US, Inc.",PID336,Client Project,2014-03-09,2014-08-28
"NATURE REPUBLIC CO., LTD.",PID337,Client Project,2013-12-13,2014-04-18
Cardinal Health,PID338,Sales Activity,2013-09-16,2013-12-31
"Antigen Laboratories, Inc.",PID339,Sales Activity,2023-10-24,2024-05-06
Topco Associates LLC,PID340,Client Project,2018-05-07,2018-10-18
"Hangzhou Facecare Cosmetics Co., Ltd.",PID341,Client Project,2023-07-02,2023-11-10
HOMEOLAB USA INC.,PID342,Client Project,2017-04-25,2017-11-08
Advance Hygienics LLC,PID343,Client Project,2019-09-19,2020-02-24
Contract Pharmacy Services-PA,PID344,BAU Activity,2022-07-22,2022-12-03
"WOONSOCKET PRESCRIPTION CENTER,INCORPORATED",PID345,Client Project,2018-09-06,2018-12-22
"Alcon Laboratories, Inc.",PID346,Client Project,2017-11-15,2018-05-24
H E B,PID347,Client Project,2023-08-23,2023-12-31
Novo Nordisk,PID348,Client Project,2020-03-06,2020-09-23
Delta Brands Inc,PID349,Client Project,2016-08-04,2017-02-10
KMART CORPORATION,PID350,Client Project,2016-01-22,2016-06-10
"PD-Rx Pharmaceuticals, Inc.",PID351,Client Project,2013-10-25,2014-04-02
WALGREEN CO.,PID352,Client Project,2016-01-07,2016-06-11
Virtus Pharmaceuticals,PID353,Client Project,2018-08-28,2019-01-11
AMOREPACIFIC,PID354,Client Project,2021-07-27,2022-01-02
United Exchange Corp,PID355,Sales Activity,2017-07-02,2018-01-22
E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.,PID356,Client Project,2023-06-04,2023-11-23
Safeway,PID357,Client Project,2022-08-30,2023-03-17
ORIGINS NATURAL RESOURCES INC.,PID358,Client Project,2018-12-09,2019-06-26
"AvKARE, Inc.",PID359,Client Project,2021-12-10,2022-03-23
REMEDYREPACK INC.,PID360,BAU Activity,2016-04-04,2016-07-15
"Jiangsu Gold Worldworks Household Chemicals Co., Ltd.",PID361,Sales Activity,2019-07-21,2019-11-02
"Newton Laboratories, Inc.",PID362,Client Project,2017-04-20,2017-10-08
REMEDYREPACK INC.,PID363,Sales Activity,2013-10-12,2014-03-25
